City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,ketchikan,55.3422,-131.6461,14.26,100,100,4.63,US,1691617423
214,menongue,-14.6585,17.691,14.77,36,42,1.88,AO,1691617698
215,saipan,15.1355,145.701,28.39,100,100,4.12,MP,1691617546
216,great bend,38.3645,-98.7648,30.58,52,0,3.6,US,1691617610
217,arteche,12.2645,125.4048,27.28,80,100,3.33,PH,1691617699
218,sydney,-33.8679,151.2073,14.65,63,0,4.63,AU,1691617685
219,mbandaka,0.0487,18.2603,21.62,96,76,1.31,CD,1691617700
220,chom bueng,13.62,99.5917,24.19,84,100,1.68,TH,1691617700
221,longboat key,27.4125,-82.659,35.72,61,0,5.66,US,1691617700
222,eregli,37.5133,34.0467,25.55,54,0,1.89,TR,1691617701
223,maputo,-25.9653,32.5892,17.82,82,20,3.13,MZ,1691617702
224,howard springs,-12.497,131.047,22.95,73,83,3.03,AU,1691617702
225,bilibino,68.0546,166.4372,12.62,43,99,1.89,RU,1691617482
226,hilo,19.7297,-155.09,29.04,78,100,2.68,US,1691617537
227,tukrah,32.5341,20.5791,25.67,71,2,6.35,LY,1691617703
228,nizhnesortymskiy,62.4397,71.7603,10.66,69,0,8.46,RU,1691617704
229,hasaki,35.7333,140.8333,28.5,77,66,4.69,JP,1691617704
230,aras-asan,8.8908,126.3033,24.89,88,100,3.03,PH,1691617705
231,kununurra,-15.7667,128.7333,13.99,77,54,0.0,AU,1691617705
232,bredasdorp,-34.5322,20.0403,10.39,93,1,0.84,ZA,1691617706
233,trinidad,-14.8333,-64.9,31.99,51,2,2.06,BO,1691617706
234,ghormach,35.7306,63.7826,26.46,28,0,2.85,AF,1691617706
235,gwadar,25.1216,62.3254,26.95,81,96,3.21,PK,1691617449
236,igrim,63.1906,64.4162,9.93,70,12,2.48,RU,1691617707
237,novyy urgal,51.0736,132.5642,17.62,72,79,0.83,RU,1691617707
238,tonga,-20.0,-175.0,23.32,89,100,3.02,TO,1691617708
239,jaciara,-15.9653,-54.9683,30.36,22,0,1.01,BR,1691617708
240,bocana de paiwas,12.7857,-85.1227,29.19,81,88,3.78,NI,1691617709
241,susuman,62.7833,148.1667,9.26,75,75,0.86,RU,1691617577
242,campbellsville,37.3434,-85.3419,26.51,65,100,0.89,US,1691617709
243,cockburn town,21.4612,-71.1419,28.99,84,71,7.66,TC,1691617710
244,codrington,-38.2667,141.9667,9.96,80,60,7.5,AU,1691617710
245,okhotsk,59.3833,143.3,16.12,63,10,0.55,RU,1691617710
